ParasiteCorrectedName,close,nonclose,vector,intermediate,ParasiteTraitsCitation
Alphacoronavirus Alphacoronavirus 1,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
Alphavirus Chikungunya virus,0,0,1,0,
Alphavirus Eastern equine encephalitis virus,0,0,1,0,
Alphavirus Mayaro virus,0,0,1,0,
Alphavirus Semliki forest virus,0,0,1,0,
Alphavirus Sindbis virus,0,0,1,0,
Alphavirus Southern elephant seal virus,0,0,1,0,
Alphavirus Venezuelan equine encephalitis virus,0,0,1,0,
Alphavirus Western equine encephalitis virus,0,0,1,0,
Amblyomma americanum,0,1,0,0,
Amblyomma aureolatum,0,1,0,0,
Amblyomma brasiliense,0,1,0,0,
Amblyomma cajennense,0,1,0,0,
Amblyomma coelebs,0,1,0,0,
Amblyomma cohaerens,0,1,0,0,
Amblyomma dubitatum,0,1,0,0,
Amblyomma fuscum,0,1,0,0,
Amblyomma gemma,0,1,0,0,
Amblyomma hebraeum,0,1,0,0,
Amblyomma javanense,0,1,0,0,
Amblyomma longirostre,0,1,0,0,
Amblyomma maculatum,0,1,0,0,
Amblyomma marmoreum,0,1,0,0,
Amblyomma naponense,0,1,0,0,
Amblyomma oblongoguttatum,0,1,0,0,
Amblyomma ovale,0,1,0,0,
Amblyomma parvum,0,1,0,0,
Amblyomma pecarium,0,1,0,0,
Amblyomma rhinocerotis,0,1,0,0,
Amblyomma rotundatum,0,1,0,0,
Amblyomma scalpturatum,0,1,0,0,
Amblyomma sparsum,0,1,0,0,
Amblyomma testudinarium,0,1,0,0,
Amblyomma tholloni,0,1,0,0,
Amblyomma tigrinum,0,1,0,0,
Amblyomma triguttatum,0,1,0,0,
Amblyomma triste,0,1,0,0,
Amblyomma variegatum,0,1,0,0,
Amdoparvovirus Carnivore amdoparvovirus 1,1,1,0,0,"Canuti M, Whitney HG, Lang AS. Amdoparvoviruses in small mammals: expanding our understanding of parvovirus diversity, distribution, and pathology. Frontiers in Microbiology. 2015;6:1119. .;;Canuti M, Whitney HG, Lang AS. Amdoparvoviruses in small mammals: expanding our understanding of parvovirus diversity, distribution, and pathology. Frontiers in Microbiology. 2015;6:1119. ."
Amoebotaenia paradoxa,0,0,0,1,
Anaplasma marginale,0,0,1,0,"Crosby FL, Brayton KA, Magunda F, Munderloh UG, Kelley KL, Barbet AF. Reduced Infectivity in Cattle for an Outer Membrane Protein Mutant of Anaplasma marginale. Goodrich-Blair H, ed. Applied and Environmental Microbiology. 2015;81(6):2206-2214. .;Kocan KM, Zivkovic Z, Blouin EF, et al. Silencing of genes involved inAnaplasma marginale-tick interactions affects the pathogen developmental cycle in Dermacentor variabilis. BMC Developmental Biology. 2009;9:42. doi:10.1186/1471-213X-9-42."
Anaplasma ovis,0,0,1,0,"Lane RS, Mun J, Peribáñez MA, Fedorova N. Differences in prevalence ofBorrelia burgdorferi and Anaplasma spp. infection among host-seekingDermacentor occidentalis, Ixodes pacificus, and Ornithodoros coriaceus ticks in northwestern California. Ticks and tick-borne diseases. 2010;1(4):159-167. ;Hornok et al. Research in Veterinary Science. 2012. "
Anaplasma phagocytophilum,0,0,1,0,"Stuen S, Granquist EG, Silaghi C. Anaplasma phagocytophilum—a widespread multi-host pathogen with highly adaptive strategies. Frontiers in Cellular and Infection Microbiology. 2013;3:31. ;;Yang J, Liu Z, Niu Q, et al. Evaluation of different nested PCRs for detection ofAnaplasma phagocytophilum in ruminants and ticks. BMC Veterinary Research. 2016;12:35. doi:10.1186/s12917-016-0663-2."
Anaplasma platys,0,0,1,0,Almazan et al. Ticks and Tick-borne Diseases. 2016.
Anatrichosoma cynamolgi,0,1,0,0,
Anatrichosoma ixyos,0,1,0,0,
Ancylostoma braziliense,1,1,0,0,"Norris, D. The Journal of Parasitology. 1971;"
Ancylostoma caninum,1,1,0,0,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp. 370–376.; Olsen W (1986). Animal Parasites: their life cycles and ecology (3rd ed.). Dover. pp. 399–416.
Ancylostoma duodenale,0,1,0,0,
Ancylostoma kusimaense,1,1,0,0,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp. 370–376.; Olsen W (1986). Animal Parasites: their life cycles and ecology (3rd ed.). Dover. pp. 399–416.
Ancylostoma martinezi,1,1,0,0,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp. 370–376.; Olsen W (1986). Animal Parasites: their life cycles and ecology (3rd ed.). Dover. pp. 399–416.
Ancylostoma paraduodenale,1,1,0,0,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp. 370–376.; Olsen W (1986). Animal Parasites: their life cycles and ecology (3rd ed.). Dover. pp. 399–416.
Ancylostoma pluridentatum,1,1,0,0,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp. 370–376.; Olsen W (1986). Animal Parasites: their life cycles and ecology (3rd ed.). Dover. pp. 399–416.
Ancylostoma quadridentata,0,1,0,0,
Ancylostoma tubaeforme,1,1,0,0,"Norris, D. The Journal of Parasitology. 1971"
Androlaelaps casalis,1,0,0,0,
Angiocaulus gubernaculatus,0,1,0,1,Spratt DM. Species of Angiostrongylus (Nematoda: Metastrongyloidea) in wildlife: A review. International Journal for Parasitology: Parasites and Wildlife. 2015;4(2):178-189. 
Angiostrongylus costaricensis,0,1,0,1,Spratt DM. Species of Angiostrongylus (Nematoda: Metastrongyloidea) in wildlife: A review. International Journal for Parasitology: Parasites and Wildlife. 2015;4(2):178-189. 
Angiostrongylus vasorum,0,1,0,1,Spratt DM. Species of Angiostrongylus (Nematoda: Metastrongyloidea) in wildlife: A review. International Journal for Parasitology: Parasites and Wildlife. 2015;4(2):178-189. 
Anisakis pegreffii,0,1,0,1,
Anisakis physeteris,0,1,0,1,
Anisakis simplex,0,1,0,1,
Anophryocephalus arcticensis,0,1,0,1,
Anophryocephalus inuitorum,0,1,0,1,
Anophryocephalus ochotensis,0,1,0,1,
Anoplocephala gigantea,0,0,0,1,
Anoplocephala gorillae,0,0,0,1,
Anoplocephala magna,0,0,0,1,
Anoplocephala perfoliata,0,0,0,1,
Antarctophthirus microchir,1,0,0,0,
Aphthovirus Foot-and-mouth disease virus,1,1,0,0,Schley et al. 2009. Journal of the Royal Society Interface
Apophallus donicus,0,0,0,1,
Apophallus muehlingi,0,1,0,1,
Apophallus venustus,0,1,0,1,
Apteragia odocoilei,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg. 81 and 96"
Apteragia pursglovei,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg. 81 and 97"
Apteragia quadrispiculata,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg. 81 and 98"
Arcanobacterium haemolyticum,0,1,0,0,
Arcanobacterium phocae,0,1,0,0,
Arcanobacterium pyogenes,1,1,0,0,
Archaeopsylla erinacei,1,1,0,0,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic.pg 572
Arhythmorhynchus brevis,0,0,0,1,
Armillifer armillatus,0,1,0,1,
Arterivirus Porcine reproductive and respiratory syndrome virus 1,1,1,1,0,Yun and Lee. Journal of Microbiology. 2013.
Arthroderma benhamiae,1,1,0,0,Fehr et al. Journal of exotic pet medicine. 2015.
Arthrostoma miyazakiense,0,1,0,1,
Ascaridia galli,0,1,0,0,
Ascaris elongata,0,1,0,0,
Ascaris lumbricoides,1,1,0,0,"Anderson, R. Nematode Parasites of Vertebrates. 2000. pg291;"
Ascaris petiti,0,1,0,0,
Ascaris phacochoeri,1,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000."
Ascaris suum,1,1,0,0,"Anderson, R. Nematode Parasites of Vertebrates. 2000. pg292;Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000."
Ascarops dentata,0,0,0,1,
Ascarops strongylina,0,0,0,1,
Asfivirus African swine fever virus,1,1,1,0,"Dua, Kirti. Infectious Diseases of Farm Animals. 2012. pg. 358"
Ashworthius gagarini,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg. 81 and 99"
Ashworthius sidemi,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg. 81 and 101"
Atadenovirus Deer adenovirus,1,1,0,0,"Woods et al. Veterinary Pathology. 1999.;Mahon, Lehman and Manuselis. Textbook of Diagnostic Microbiology. 2011."
Athesmia foxi,0,0,0,1,
Athesmia heterolecithodes,0,0,0,1,
Avitellina centripunctata,0,0,0,1,
Babesia bigemina,0,0,1,0,
Babesia bovis,0,0,1,0,
Babesia cellii,0,0,1,0,
Babesia cynicti,0,0,1,0,
Babesia equi,0,0,1,0,
Babesia lotori,0,0,1,0,
Babesia microti,0,0,1,0,
Babesia missirolii,0,0,1,0,
Babesia odocoilei,0,0,1,0,
Babesia ovis,0,0,1,0,
Babesia pitheci,0,0,1,0,
Babesia propitheci,0,0,1,0,
Babesia rossi,0,0,1,0,
Bacillus anthracis,0,1,0,0,"Forbes, Sahm and Weissfeld. Bailey & Scott Diagnostic Microbiology. 2002.;;Forbes, Sahm and Weissfeld. Bailey & Scott Diagnostic Microbiology. 2002."
Bacillus cereus,0,1,0,0,
Bacillus coagulans,0,1,1,0,"Benson KF, Redman KA, Carter SG, et al. Probiotic metabolites from Bacillus coagulans GanedenBC30TM support maturation of antigen-presenting cells in vitro. World Journal of Gastroenterology?: WJG. 2012;18(16):1875-1883. "
Bacillus laterosporus,0,1,1,0,S. Cutting. Food Microbiology. 2011
Bacillus mycoides,0,1,0,0,
Balantidium aragaoi,1,1,0,0,
Balantidium coli,1,1,0,0,"Schuster FL, Ramirez-Avila L. Current World Status of Balantidium coli. Clinical Microbiology Reviews. 2008;21(4):626-638. ;"
Bartonella clarridgeiae,0,1,1,0,"Gutiérrez R, Krasnov B, Morick D, Gottlieb Y, Khokhlova IS, Harrus S.Bartonella Infection in Rodents and Their Flea Ectoparasites: An Overview.Vector Borne and Zoonotic Diseases. 2015;15(1):27-39. "
Bartonella henselae,0,0,1,0,"Gutiérrez R, Krasnov B, Morick D, Gottlieb Y, Khokhlova IS, Harrus S.Bartonella Infection in Rodents and Their Flea Ectoparasites: An Overview.Vector Borne and Zoonotic Diseases. 2015;15(1):27-39. "
Bartonella rochalimae,0,0,1,0,"Gutiérrez R, Krasnov B, Morick D, Gottlieb Y, Khokhlova IS, Harrus S.Bartonella Infection in Rodents and Their Flea Ectoparasites: An Overview.Vector Borne and Zoonotic Diseases. 2015;15(1):27-39. "
Bartonella vinsonii,0,1,1,0,
Baylisascaris columnaris,0,1,0,1,
Baylisascaris devosi,0,1,0,1,
Baylisascaris procyonis,0,1,0,1,
Baylisascaris transfuga,0,1,0,1,
Baylisiella tecta,0,1,0,1,
Bertiella mucronata,0,0,0,1,
Bertiella studeri,0,0,0,1,
Besnoitia tarandi,0,1,1,1,Garcia-Lunar et al. Veterinary Parasitology. 2014. 
Betapolyomavirus Macaca mulatta polyomavirus 1,1,0,0,0,
Bibersteinia trehalosi,1,0,0,0,Miller at al. Publications from USDA-ARS. 2008.
Blastocystis hominis,1,1,0,0,
Blastomyces dermatitidis,1,1,0,0,"Reed KD, Meece JK, Archer JR, Peterson AT. Ecologic Niche Modeling ofBlastomyces dermatitidis in Wisconsin. Carter DA, ed. PLoS ONE. 2008;3(4):e2034. "
Bolbosoma bobrovoi,0,1,0,1,
Boophilus annulatus,0,1,0,0,
Bordetella bronchiseptica,1,1,0,0,"Pathak AK, Boag B, Poss M, Harvill E, Cattadori IM. Seasonal incidence of Bordetella Bronchiseptica in an age-structured free-living rabbit population. Epidemiology and Infection. 2011;"
Borrelia afzelii,0,0,1,0,
Borrelia burgdorferi,0,0,1,0,
Borrelia garinii,0,0,1,0,
Borrelia harveyi,0,0,1,0,
Borrelia japonica,0,0,1,0,
Borrelia recurrentis,0,0,1,0,
Bovine herpesvirus 3,1,0,0,0,Rossiter et al. 1988. Veterinary Microbiology
Brachylaima fuscatus,0,1,0,1,
Brachylaima pellucidum,0,1,0,1,
Brachylaima recurva,0,1,0,1,
Brachylaima tokudai,0,1,0,1,
Brachylaima virginianum,0,1,0,1,
Brevibacillus brevis,0,1,0,0,
Brodenia laciniata,0,0,0,1,
Brodenia serrata,0,0,0,1,
Bronchonema magna,0,1,0,0,Boomker et al. The Ondersteport journal of veterinary research. 2000.
Brucella abortus,1,1,0,0,"Moreno, E. Frontiers in Microbiology. 2014;"
Brucella melitensis,1,1,0,0,Seleem et al.  Veterinary Microbiology.2010.
Brugia malayi,0,0,1,0,
Brugia pahangi,0,0,1,0,
Bunostomum trigonocephalum,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 506"
Burkholderia cepacia,1,1,0,0,"Fung SK, Dick H, Devlin H, Tullis E. Transmissibility and infection control implications of Burkholderia cepacia in cystic fibrosis. The Canadian Journal of Infectious Diseases. 1998;9(3):177-182."
Buttiauxella agrestis,0,1,0,0,
Callistoura blanci,0,1,0,0,
Callistoura brygooi,0,1,0,0,
Camelostrongylus harrisi,0,1,0,0,Booyse et al. The onderstepoort journal of veterinary research. 1997.
Camelostrongylus mentulatus,0,1,0,0,Flach and Sewell.  The journal of zoo animal medicine. 1987
Campylobacter jejuni,1,1,0,0,Taema et al. 2008. Applied Environmental Microbiology
Candida albicans,1,1,0,0,"Bliss, Joseph M.; Basavegowda, Kumar P.; Watson, Wendy J.; et al. Pediatric Infectious Disease Journal. 2008.;"
Candida tropicalis,1,1,0,0,
Canine parainfluenza virus,0,1,0,0,
Capillaria aerophila,0,1,0,1,
Capillaria brochieri,0,1,0,1,
Capillaria hepatica,0,1,0,1,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.486;
Capillaria mucronata,0,1,0,1,"MORAVEC, F; PROKOPIC, J; SHLIKAS, AV. Folia Parasitologica. 1987"
Capillaria mustelorum,0,1,0,1,Snyder and Fitzgerald. Journal of Parasitology. 1985
Capillaria plica,0,1,0,1,"Alic, Amer; Hodzic, Adnan; Kadric, Mirsad; et al. Parasitology Research. 2015;"
Capillaria procyonis,0,1,0,1,paper request in
Capillaria putorii,0,1,0,1,"Anderson, R. Nematode Parasites of Vertebrates. 2000. pg610"
Cardiofilaria darwisi,0,0,1,0,
Cardiovirus Cardiovirus A,1,1,0,0,
Carios puertoricensis,0,1,0,0,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.676
Cebidicola extrarius,1,0,0,0,
Cebidicola semiarmatus,1,0,0,0,
Cediopsylla inaequalis,1,1,0,0,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic.pg 573
Cediopsylla simplex,1,1,0,0,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic.pg 608;Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic.pg 609
Centrorhynchus aluconis,0,1,0,1,
Centrorhynchus bazaleticus,0,1,0,1,
Centrorhynchus conspectus,0,1,0,1,
Centrorhynchus elongatus,0,1,0,1,
Centrorhynchus teres,0,1,0,1,
Centrorhynchus undulatus,0,1,0,1,
Ceratophyllus gallinae,1,1,0,0,Tripet F. and H. Richner. Parasitology. 1997.
Ceratophyllus sciurorum,1,1,0,0,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic.pg 573
Ceratospira opthalmica,0,0,1,0,
Cercogylus africanus,0,0,0,1,
Cercopithifilaria degraaffi,0,0,1,0,
Cercopithifilaria eberhardi,0,0,1,0,
Cercopithifilaria kenyensis,0,0,1,0,
Cercopithifilaria narokensis,0,0,1,0,
Cercopithifilaria shohoi,0,0,1,0,
Cercopithifilaria verveti,0,0,1,0,
Chabertia ovina,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 66"
Chaetopsylla globiceps,1,1,0,0,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic.pg 573
Chaetopsylla lotoris,1,1,0,0,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic.pg 574
Chaetopsylla matina,1,1,0,0,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic.pg 575
Chaetopsylla trichosa,1,1,0,0,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic.pg 576
Cheirogalalges evansi,1,0,0,0,
Cheyletiella parasitovorax,1,0,0,0,
Chilomastix mesnili,1,1,0,0,
Chitwoodspirura wehri,0,0,0,1,
Chlamydia psittaci,1,1,1,0,"Weigler et al .1988. Journal of Wildlife Disease;Centers for Disease Control and Prevention. Compendium of measures to control Chlamydia psittaci infection among humans (psittacosis) and pet birds (avian chlamydiosis), 1998. MMWR 1998;47(No. RR-10):[inclusive page numbers].;;Harkinezhad et al. Veterinary Microbiology. 2009."
Chlamydonema tumefaciens,0,0,0,1,
Chlamydophila abortus,1,1,0,0,"Kerr, K, G. Entrican, D. McKeever, D. Longbottom. Research in Veterinary Science. 2005."
Chlamydophila felis,1,0,0,0,Gruffydd-Jones et al. Jurnal of Feline medical Surgery. 2009.
Chorioptes bovis,1,0,0,0,
Chorioptes texanus,1,0,0,0,
Chronic wasting disease prion protein,1,1,0,0,"Jennelle CS, Henaux V, Wasserberg G, Thiagarajan B, Rolley RE, Samuel MD. Transmission of Chronic Wasting Disease in Wisconsin White-Tailed Deer: Implications for Disease Spread and Management. Roop RM, ed. PLoS ONE. 2014;9(3):e91043. doi:10.1371/journal.pone.0091043."
Chrysosporium parvum,0,1,0,0,"Anstead GM, Sutton DA, Graybill JR. Adiaspiromycosis Causing Respiratory Failure and a Review of Human Infections Due to Emmonsia and Chrysosporium spp. Journal of Clinical Microbiology. 2012;50(4):1346-1354. "
Citrobacter freundii,1,1,0,0,"Lavigne, J., C. Defez, N. Bouziges, A. Mahamat, A. Sotto. Clinical and molecular epidemiology of multidrug-resistant Citrobacter spp. infections in a French university hospital. Eur J Clin Microbiol Infect Dis. 2007 Jun ;26(6):439-41"
Citrobacter koseri,1,0,0,0,"Marecos CV, Ferreira M, Ferreira MM, Barroso MR. Sepsis, meningitis and cerebral abscesses caused by Citrobacter koseri. BMJ Case Reports. 2012;2012:bcr1020114941. "
Clostridioides difficile,0,1,0,0,"Forbes, Sahm and Weissfeld. Bailey & Scott Diagnostic Microbiology. 2002. pg 512"
Clostridium bartlettii,0,1,0,0,"Song, Y, C Liu, M. McTeaque, P Summanen and S Finegold. Anaerobe. 2004"
Clostridium botulinum,0,1,0,0,"Dua, Kirti. Infectious Diseases of Farm Animals. 2012. pg. 141"
Clostridium colicanis,0,1,0,0,Greetham et al. 2003. International Journal of Systematic and Evolutinary Microbiology. 
Clostridium disporicum,0,1,0,0,Plassart et al. Anaerobe. 2013
Clostridium glycolicum,0,1,0,0,"Jiang, W., S. Abrar, M. Romangnoli and K. Carroll. Journal of Clinical Microbiology. 2009."
Clostridium haemolyticum,0,1,0,0,Oaks et al. 1997. Journal of Veterinary Diagnostic Investigations
Clostridium hiranonis,0,1,0,0,"Kitahara, M., F. Takamine, T. Imamura and Y. Benno. International Journal of Systematic and Evolutionary Microbiology. 2001."
Clostridium paraputrificum,0,1,0,0,"Shinha T, Hadi C. Clostridium paraputrificum Bacteremia Associated with Colonic Necrosis in a Patient with AIDS. Case Reports in Infectious Diseases. 2015;2015:312919. "
Clostridium perfringens,1,1,0,0,"Dua, Kirti. Infectious Diseases of Farm Animals. 2012. pg. 134;;Uzal FA, Freedman JC, Shrestha A, et al. Towards an understanding of the role of Clostridium perfringens toxins in human and animal disease. Future microbiology. 2014;9(3):361-377. doi:10.2217/fmb.13.168."
Clostridium sardiniense,0,1,0,0,"Wang, X., T. Maegawa, T. Karasawa, E. Ozaki, S. Nakamura. 2005. International Journal of Systematic and Evolutionary Microbiology."
Clostridium sordellii,0,1,0,0,"Dua, Kirti. Infectious Diseases of Farm Animals. 2012. pg. 153;Lewis and Naylor. 1998. The Veterinary Record. "
Coccidioides immitis,0,1,0,0,"Nguyen C, Barker BM, Hoover S, et al. Recent Advances in Our Understanding of the Environmental, Epidemiological, Immunological, and Clinical Dimensions of Coccidioidomycosis. Clinical Microbiology Reviews. 2013;26(3):505-525. "
Cochliomyia hominivorax,0,0,1,0,
Colobenterobius colobis,1,1,0,0,
Colobenterobius entellus,1,1,0,0,
Colobenterobius guerezae,1,1,0,0,
Colobenterobius inglisi,1,1,0,0,
Colobenterobius longispiculum,1,1,0,0,
Colobenterobius paraguerezae,1,1,0,0,
Colobenterobius pesteri,1,1,0,0,
Colobenterobius presbytis,1,1,0,0,
Colobenterobius zakiri,1,1,0,0,
Coltivirus Colorado tick fever virus,0,1,1,0,"Attoui H, Jaafar FM, de Micco P, de Lamballerie X. Coltiviruses and Seadornaviruses in North America, Europe, and Asia. Emerging Infectious Diseases. 2005;11(11):1673-1679. doi:10.3201/eid1111.050868."
Concinnum ten,0,0,0,1,
Contracaecum margolisi,0,1,0,1,
Contracaecum ogmorhini,0,1,0,1,
Contracaecum osculatum,0,1,0,1,
Contracaecum rodhaini,0,0,0,1,
Contracaecum spiculigerum,0,1,0,1,
Controrchis biliophilus,0,0,0,1,
Cooperia acutispiculum,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92"
Cooperia connochaeti,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92"
Cooperia fuelleborni,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92"
Cooperia hungi,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92"
Cooperia neitzi,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92"
Cooperia oncophora,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92"
Cooperia pectinata,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92"
Cooperia punctata,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92"
Cooperia rotundispiculum,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92"
Cooperia surnabada,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92"
Cooperia yoshidai,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 92"
Cooperioides antidorca,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 94"
Cooperioides hamiltoni,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 94"
Cooperioides hepaticae,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 94"
Corynebacterium bovis,1,0,0,0,
Corynebacterium pseudotuberculosis,1,0,0,0,
Corynebacterium ulcerans,1,0,0,0,
Corynebacterium xerosis,1,0,0,0,
Corynosoma australe,0,0,0,1,
Corynosoma enhydri,0,0,0,1,
Corynosoma hadweni,0,0,0,1,
Corynosoma magdaleni,0,0,0,1,
Corynosoma obtuscens,0,0,0,1,
Corynosoma reductum,0,0,0,1,
Corynosoma semerme,0,0,0,1,
Corynosoma strumosum,0,0,0,1,
Corynosoma validum,0,0,0,1,
Corynosoma villosum,0,0,0,1,
Cotylophoron cotylophorum,0,1,0,1,"Yamaguti, S. Synopsis of Digenetic Trematodes of Vertebrates. 1971. pg 695"
Cotylophoron indicum,0,1,0,1,Mukherjee. Junral of the Zoologial Society of India. 1969
Cotylophoron jacksoni,0,1,0,1,Miranda and Costa. 1999. Rev. Bras. Parasitol.Vet.
Coxiella burnetii,1,1,1,0,"Porter SR, Czaplicki G, Mainil J, Guattéo R, Saegerman C. Q Fever: Current State of Knowledge and Perspectives of Research of a Neglected Zoonosis.International Journal of Microbiology. 2011;2011:248418. ;;Porter SR, Czaplicki G, Mainil J, Guattéo R, Saegerman C. Q Fever: Current State of Knowledge and Perspectives of Research of a Neglected Zoonosis.International Journal of Microbiology. 2011;2011:248418. "
Craterostomum acuticaudatum,0,1,0,0,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 61"
Crenosoma goblei,0,0,0,1,
Crenosoma melesi,0,0,0,1,
Crenosoma petrowi,0,0,0,1,
Crenosoma taiga,0,0,0,1,
Crenosoma vulpis,0,0,0,1,
Crenosoma zederi,0,0,0,1,
Cruzia americana,0,1,0,0,
Cryptococcus diffluens,0,1,0,0,
Cryptocotyle jejunum,0,0,0,1,
Cryptocotyle lingua,0,0,0,1,
